epoch,accuracy,loss,lr,sensitivity,val_accuracy,val_loss,val_sensitivity
0,0.742654025554657,0.5392135977745056,1e-04,0.742654025554657,0.455407977104187,0.7119214534759521,0.455407977104187
1,0.813744068145752,0.43092647194862366,1e-04,0.813744068145752,0.45351043343544006,1.0005791187286377,0.45351043343544006
2,0.8184834122657776,0.3970436453819275,1e-04,0.8184834122657776,0.45351043343544006,2.0502071380615234,0.45351043343544006
3,0.836018979549408,0.36851638555526733,5e-05,0.836018979549408,0.7893738150596619,0.42923182249069214,0.7893738150596619
4,0.8379147052764893,0.3632437288761139,5e-05,0.8379147052764893,0.6375711560249329,0.849158763885498,0.6375711560249329
5,0.8336492776870728,0.36654120683670044,5e-05,0.8336492776870728,0.7343453764915466,0.49171826243400574,0.7343453764915466
6,0.8417061567306519,0.3488733768463135,2.5e-05,0.8417061567306519,0.7988615036010742,0.4116089344024658,0.7988615036010742
7,0.8459715843200684,0.3353503346443176,2.5e-05,0.8459715843200684,0.6470588445663452,0.7806611657142639,0.6470588445663452
8,0.8540284633636475,0.32752764225006104,2.5e-05,0.8540284633636475,0.6603415608406067,0.6995888948440552,0.6603415608406067
9,0.856872022151947,0.3197425603866577,1.25e-05,0.856872022151947,0.7931689023971558,0.4453171491622925,0.7931689023971558
10,0.8526066541671753,0.3320287764072418,1.25e-05,0.8526066541671753,0.6413662433624268,0.7386668920516968,0.6413662433624268
11,0.8573459982872009,0.3213076889514923,6.25e-06,0.8573459982872009,0.777988612651825,0.4872172474861145,0.777988612651825
12,0.8521326780319214,0.3215450048446655,6.25e-06,0.8521326780319214,0.7438330054283142,0.47666749358177185,0.7438330054283142
13,0.8549762964248657,0.31585395336151123,3.125e-06,0.8549762964248657,0.7647058963775635,0.45502346754074097,0.7647058963775635
14,0.8587677478790283,0.30811697244644165,3.125e-06,0.8587677478790283,0.7912713289260864,0.4344334304332733,0.7912713289260864
