epoch,accuracy,loss,sensitivity,specificity,val_accuracy,val_loss,val_sensitivity,val_specificity
0,0.8532423377037048,0.319124311208725,0.8301886916160583,0.9836065769195557,NA,NA,NA,NA
1,0.9453924894332886,0.15642096102237701,0.9411764740943909,0.9830508232116699,NA,NA,NA,NA
2,0.9783845543861389,0.08773847669363022,0.9629629850387573,0.9814814925193787,NA,NA,NA,NA
3,0.9882442355155945,0.05219672992825508,0.984375,0.9830508232116699,NA,NA,NA,NA
4,0.9920364022254944,0.038526859134435654,0.9855072498321533,1.0,NA,NA,NA,NA
5,0.9946909546852112,0.026839669793844223,1.0,0.9833333492279053,NA,NA,NA,NA
6,0.9859688878059387,0.0435088649392128,0.9811320900917053,1.0,NA,NA,NA,NA
7,0.9871065616607666,0.04083501175045967,1.0,0.9833333492279053,NA,NA,NA,NA
8,0.9946909546852112,0.02423647791147232,0.982758641242981,0.9803921580314636,NA,NA,NA,NA
9,1.0,0.006811589002609253,1.0,1.0,NA,NA,NA,NA
10,0.99810391664505,0.010490791872143745,1.0,1.0,NA,NA,NA,NA
11,0.9954493641853333,0.021971972659230232,1.0,1.0,NA,NA,NA,NA
12,0.9836935997009277,0.04505154862999916,0.9824561476707458,0.9841269850730896,NA,NA,NA,NA
13,0.9950701594352722,0.02139117382466793,0.9841269850730896,1.0,NA,NA,NA,NA
14,0.9924156069755554,0.02687988430261612,0.9672130942344666,1.0,NA,NA,NA,NA
15,0.9939324855804443,0.01826620288193226,1.0,1.0,NA,NA,NA,NA
16,0.9992415904998779,0.005662946030497551,1.0,1.0,NA,NA,NA,NA
17,0.997724711894989,0.0076103550381958485,1.0,1.0,NA,NA,NA,NA
18,0.99810391664505,0.008403115905821323,1.0,1.0,NA,NA,NA,NA
19,0.999620795249939,0.006846331525593996,1.0,1.0,NA,NA,NA,NA
20,0.999620795249939,0.0026211077347397804,1.0,1.0,NA,NA,NA,NA
21,0.9984831213951111,0.009427572600543499,1.0,1.0,NA,NA,NA,NA
22,0.9988623261451721,0.006213276647031307,1.0,1.0,NA,NA,NA,NA
23,0.9946909546852112,0.015768399462103844,0.9841269850730896,1.0,NA,NA,NA,NA
24,0.9958285689353943,0.016018221154808998,1.0,1.0,NA,NA,NA,NA
25,0.9992415904998779,0.0051935282535851,1.0,1.0,NA,NA,NA,NA
26,0.9943116903305054,0.021871833130717278,0.9852941036224365,1.0,NA,NA,NA,NA
27,0.9973454475402832,0.008321826346218586,1.0,1.0,NA,NA,NA,NA
28,0.99810391664505,0.007532843854278326,1.0,0.9846153855323792,NA,NA,NA,NA
29,0.9992415904998779,0.0040376377291977406,1.0,1.0,NA,NA,NA,NA
