epoch,accuracy,loss,lr,sensitivity,val_accuracy,val_loss,val_lr,val_sensitivity
0,0.8536215424537659,0.3227255642414093,1e-04,0.8536215424537659,NA,NA,NA,NA
1,0.9461509585380554,0.15773046016693115,1e-04,0.9461509585380554,NA,NA,NA,NA
2,0.9757300019264221,0.08974172919988632,1e-04,0.9757300019264221,NA,NA,NA,NA
3,0.9833143949508667,0.06371306627988815,1e-04,0.9833143949508667,NA,NA,NA,NA
4,0.9939324855804443,0.037202849984169006,1e-04,0.9939324855804443,NA,NA,NA,NA
5,0.9973454475402832,0.023945055902004242,1e-04,0.9973454475402832,NA,NA,NA,NA
6,0.9905195236206055,0.03174516186118126,1e-04,0.9905195236206055,NA,NA,NA,NA
7,0.9905195236206055,0.037000872194767,1e-04,0.9905195236206055,NA,NA,NA,NA
8,0.9905195236206055,0.03315341845154762,1e-04,0.9905195236206055,NA,NA,NA,NA
9,0.9954493641853333,0.018893389031291008,1e-04,0.9954493641853333,NA,NA,NA,NA
10,0.9939324855804443,0.02122817188501358,1e-04,0.9939324855804443,NA,NA,NA,NA
11,0.9912779927253723,0.027050690725445747,1e-04,0.9912779927253723,NA,NA,NA,NA
12,0.9954493641853333,0.018591711297631264,1e-04,0.9954493641853333,NA,NA,NA,NA
13,0.9950701594352722,0.014148684218525887,1e-04,0.9950701594352722,NA,NA,NA,NA
14,0.9924156069755554,0.027907416224479675,1e-04,0.9924156069755554,NA,NA,NA,NA
15,0.9969662427902222,0.01183484960347414,1e-04,0.9969662427902222,NA,NA,NA,NA
16,1.0,0.003177310572937131,1e-04,1.0,NA,NA,NA,NA
17,1.0,0.0017473436892032623,1e-04,1.0,NA,NA,NA,NA
18,1.0,0.0016502344515174627,1e-04,1.0,NA,NA,NA,NA
19,1.0,0.0014495261711999774,1e-04,1.0,NA,NA,NA,NA
20,1.0,0.0013944701058790088,1e-04,1.0,NA,NA,NA,NA
21,0.9901403188705444,0.03040335699915886,1e-04,0.9901403188705444,NA,NA,NA,NA
22,0.9912779927253723,0.0239995326846838,1e-04,0.9912779927253723,NA,NA,NA,NA
23,0.9931740760803223,0.01935764215886593,1e-04,0.9931740760803223,NA,NA,NA,NA
24,0.9954493641853333,0.015036256052553654,1e-04,0.9954493641853333,NA,NA,NA,NA
25,0.9946909546852112,0.015281805768609047,1e-04,0.9946909546852112,NA,NA,NA,NA
26,0.9988623261451721,0.0042450446635484695,1e-04,0.9988623261451721,NA,NA,NA,NA
27,0.99810391664505,0.007236432284116745,1e-04,0.99810391664505,NA,NA,NA,NA
28,0.999620795249939,0.0025543291121721268,1e-04,0.999620795249939,NA,NA,NA,NA
29,1.0,0.0015610572881996632,1e-04,1.0,NA,NA,NA,NA
