epoch,accuracy,loss,lr,sensitivity,specificity,val_accuracy,val_loss,val_lr,val_sensitivity,val_specificity
0,0.8577929735183716,0.3109852373600006,1e-04,0.8113207817077637,0.9836065769195557,NA,NA,NA,NA,NA
1,0.9465301632881165,0.15328101813793182,1e-04,0.9558823704719543,0.8983050584793091,NA,NA,NA,NA,NA
2,0.9802806377410889,0.08196330815553665,1e-04,1.0,0.9444444179534912,NA,NA,NA,NA,NA
3,0.9893818497657776,0.048176784068346024,1e-04,0.96875,1.0,NA,NA,NA,NA,NA
4,0.9897611141204834,0.04477366805076599,1e-04,0.95652174949646,0.9833333492279053,NA,NA,NA,NA,NA
